Year,Fare,30 Day Unlimited ,14 Day Unlimited,7 Day Unlimited,1 Day
1904,$0.05,,,,
1905,$0.05,,,,
1906,$0.05,,,,
1907,$0.05,,,,
1908,$0.05,,,,
1909,$0.05,,,,
1910,$0.05,,,,
1911,$0.05,,,,
1912,$0.05,,,,
1913,$0.05,,,,
1914,$0.05,,,,
1915,$0.05,,,,
1916,$0.05,,,,
1917,$0.05,,,,
1918,$0.05,,,,
1919,$0.05,,,,
1920,$0.05,,,,
1921,$0.05,,,,
1922,$0.05,,,,
1923,$0.05,,,,
1924,$0.05,,,,
1925,$0.05,,,,
1926,$0.05,,,,
1927,$0.05,,,,
1928,$0.05,,,,
1929,$0.05,,,,
1930,$0.05,,,,
1931,$0.05,,,,
1932,$0.05,,,,
1933,$0.05,,,,
1934,$0.05,,,,
1935,$0.05,,,,
1936,$0.05,,,,
1937,$0.05,,,,
1938,$0.05,,,,
1939,$0.05,,,,
1940,$0.05,,,,
1941,$0.05,,,,
1942,$0.05,,,,
1943,$0.05,,,,
1944,$0.05,,,,
1945,$0.05,,,,
1946,$0.05,,,,
1947,$0.05,,,,
1948,$0.10,,,,
1949,$0.10,,,,
1950,$0.10,,,,
1951,$0.10,,,,
1952,$0.10,,,,
1953,$0.15,,,,
1954,$0.15,,,,
1955,$0.15,,,,
1956,$0.15,,,,
1957,$0.15,,,,
1958,$0.15,,,,
1959,$0.15,,,,
1960,$0.15,,,,
1961,$0.15,,,,
1962,$0.15,,,,
1963,$0.15,,,,
1964,$0.15,,,,
1965,$0.15,,,,
1966,$0.20,,,,
1967,$0.20,,,,
1968,$0.20,,,,
1969,$0.20,,,,
1970,$0.30,,,,
1971,$0.30,,,,
1972,$0.35,,,,
1973,$0.35,,,,
1974,$0.35,,,,
1975,$0.50,,,,
1976,$0.50,,,,
1977,$0.50,,,,
1978,$0.50,,,,
1979,$0.50,,,,
1980,$0.60,,,,
1981,$0.75,,,,
1982,$0.75,,,,
1983,$0.75,,,,
1984,$0.90,,,,
1985,$0.90,,,,
1986,$1.00,,,,
1987,$1.00,,,,
1988,$1.00,,,,
1989,$1.00,,,,
1990,$1.15,,,,
1991,$1.15,,,,
1992,$1.25,,,,
1993,$1.25,,,,
1994,$1.25,,,,
1995,$1.50,,,,
1996,$1.50,,,,
1997,$1.50,,,,
1998,$1.50,$63.00,,$17.00,
1999,$1.50,$63.00,,$17.00,$4.00
2000,$1.50,$63.00,,$17.00,$4.00
2001,$1.50,$63.00,,$17.00,$4.00
2002,$1.50,$63.00,,$17.00,$4.00
2003,$2.00,$70.00,,$21.00,$7.00
2004,$2.00,$70.00,,$21.00,$7.00
2005,$2.00,$76.00,,$24.00,$7.00
2006,$2.00,$76.00,,$24.00,$7.00
2007,$2.00,$76.00,,$24.00,$7.00
2008,$2.00,$81.00,$47.00,$25.00,$7.50
2009,$2.25,$89.00,$47.00,$27.00,$9.50
2010,$2.25,$89.00,$51.50,$27.00,$9.50
2011,$2.25,$104.00,,$29.00,
2012,$2.25,$104.00,,$29.00,
2013,$2.50,$112.00,,$30.00,
2014,$2.50,$112.00,,$30.00,
2015,$2.75,$116.50,,$31.00,
2016,$2.75,$116.50,,$31.00,
2017,$2.75,$116.50,,$31.00,
2018,$2.75,$116.50,,$32.00,
2019,$2.75,$127.00,,$33.00,
2020,$2.75,$127.00,,$33.00,
2021,$2.75,$127.00,,$33.00,
2022,$2.75,$127.00,,$33.00,
2023,$2.90,$132.00,,$34.00,
2024,$2.90,$132.00,,$34.00,
2025,$2.90,$132.00,,$35.00,
2026,$3.00,,,,